,ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
0,1,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,14.38,13.23,11.27,9.24,6.92
1,2,none,None,0.0,,0.0,0.0,0.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.0,0.0,3.25,3.25,3.25,3.25,3.25
2,3,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,4.6,4.6,4.6,3.68,2.41
3,4,none,None,0.0,,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.0,0.0,0.95,0.95,0.95,0.95,0.95
4,5,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.5,none,0.0,none,0.0,0.9,0.9,8.31,8.31,8.31,6.83,4.6
5,6,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,70.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,8.84,8.84,8.84,6.93,4.16
6,7,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,93.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,2.44,2.44,2.44,2.23,2.0
7,8,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,47.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.84,1.84,1.84,1.68,1.2
8,9,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.25,none,0.0,none,0.0,0.9,0.9,6.15,5.35,5.35,4.62,3.26
9,10,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,52.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,none,0.0,none,0.0,0.9,0.9,3.57,3.57,3.34,2.89,2.58
10,11,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,14.72,14.49,14.49,11.55,6.92
11,12,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,137.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.1,none,0.0,0.9,0.9,4.14,4.14,4.14,3.15,2.25
12,13,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,tween-20,0.1,none,0.0,0.9,0.9,17.25,17.25,17.25,14.7,13.0
13,14,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.0,0.0,1.15,1.15,1.15,1.15,1.15
14,15,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,none,0.0,none,0.0,0.0,0.0,1.25,1.25,1.25,1.25,1.25
15,16,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,none,0.0,none,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5
16,17,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.5,none,0.0,none,0.0,0.0,0.0,1.65,1.65,1.65,1.65,1.65
17,18,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,none,0.0,none,0.0,0.0,0.0,2.25,2.25,2.25,2.25,2.25
18,19,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,260.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,27.03,24.15,21.85,14.7,6.5
19,20,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,240.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,76.59,56.35,37.95,29.4,18.0
20,21,BSA,Other,2.0,66.0,4.7,0.3,185.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.41,none,0.0,none,0.0,0.85,0.9,9.09,9.09,8.63,6.93,3.58
21,22,BSA,Other,2.0,66.0,4.7,0.3,83.3,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.19,none,0.0,none,0.0,0.85,0.9,2.19,2.19,2.19,2.0,1.56
22,23,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,38.3,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.21,none,0.0,0.9,0.9,1.32,1.32,1.32,1.21,1.15
23,24,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,124.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.09,none,0.0,0.9,0.9,2.99,2.99,2.99,2.73,2.6
24,25,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,189.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.05,none,0.0,0.9,0.9,9.2,9.2,9.2,6.83,4.17
25,26,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,95.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.46,none,0.0,none,0.0,0.9,0.9,4.37,3.85,3.85,3.15,2.24
26,27,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,164.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.3,tween-20,0.1,none,0.0,0.9,0.9,7.82,6.9,6.67,5.15,4.0
27,28,BSA,Other,2.0,66.0,4.7,0.3,177.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,5.06,4.6,4.6,3.99,3.0
28,29,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.1,none,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
29,30,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.05,none,0.0,0.0,0.0,0.97,0.97,0.97,0.97,0.97
30,31,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-20,0.1,none,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2
31,32,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-20,0.1,none,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3
32,33,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-20,0.1,none,0.0,0.0,0.0,1.55,1.55,1.55,1.55,1.55
33,34,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-20,0.1,none,0.0,0.0,0.0,2.32,2.32,2.32,2.32,2.32
34,35,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-20,0.05,none,0.0,0.0,0.0,1.17,1.17,1.17,1.17,1.17
35,36,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-20,0.05,none,0.0,0.0,0.0,1.27,1.27,1.27,1.27,1.27
36,37,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-20,0.05,none,0.0,0.0,0.0,1.52,1.52,1.52,1.52,1.52
37,38,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-20,0.05,none,0.0,0.0,0.0,2.29,2.29,2.29,2.29,2.29
38,39,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.1,none,0.0,0.0,0.0,1.07,1.07,1.07,1.07,1.07
39,40,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.05,none,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
40,41,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-80,0.1,none,0.0,0.0,0.0,1.27,1.27,1.27,1.27,1.27
41,42,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-80,0.1,none,0.0,0.0,0.0,1.38,1.38,1.38,1.38,1.38
42,43,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-80,0.1,none,0.0,0.0,0.0,1.64,1.64,1.64,1.64,1.64
43,44,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-80,0.1,none,0.0,0.0,0.0,2.42,2.42,2.42,2.42,2.42
44,45,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-80,0.05,none,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2
45,46,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-80,0.05,none,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3
46,47,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-80,0.05,none,0.0,0.0,0.0,1.55,1.55,1.55,1.55,1.55
47,48,none,None,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-80,0.05,none,0.0,0.0,0.0,2.32,2.32,2.32,2.32,2.32
48,49,BGG,Polyclonal,3.0,150.0,6.6,1.0,85.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.22,none,0.0,none,0.0,0.9,0.9,3.45,3.45,3.45,3.15,2.95
49,50,BGG,Polyclonal,3.0,150.0,6.6,1.0,43.6,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.15,none,0.0,0.9,0.9,1.55,1.55,1.55,1.42,1.3
50,51,BGG,Polyclonal,3.0,150.0,6.6,1.0,64.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.704,tween-80,0.037,none,0.0,0.9,0.9,3.62,3.62,3.62,3.31,3.15
